,값
시작 종가,1455.2
마지막 종가,3096.6
기간 최저 종가,676.5
기간 최고 종가,3096.6
평균 일간 수익률,0.00022216984115301305
일간 수익률 표준편차,0.011920496869781673
연환산 변동성,0.18923202133059727
최대 낙폭,-0.5677868642984922
누적 수익률,1.1279549202858807
